trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
70,False,"{'a': 0.99, 'e': 0.49483865960020695}",20,6,-29.605159270153447,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
71,False,"{'a': 0.99, 'e': 0.4898902730042049}",35,21,16.023762916273192,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.99, 'e': 0.48499137027416284}",25,0,-85.611833501205,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
73,False,"{'a': 0.99, 'e': 0.4801414565714212}",30,0,-118.2810640871227,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 3}",0
74,False,"{'a': 0.99, 'e': 0.47534004200570695}",25,2,-35.59619228815921,"{0: 19, 1: 0, 2: 2, 3: 2, 4: 0}",1
75,False,"{'a': 0.99, 'e': 0.4705866415856499}",20,0,-100.66709523227647,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
76,False,"{'a': 0.99, 'e': 0.46588077516979337}",35,0,-155.27457654950743,"{0: 24, 1: 1, 2: 6, 3: 2, 4: 2}",0
77,False,"{'a': 0.99, 'e': 0.46122196741809546}",35,0,-85.70218537112329,"{0: 27, 1: 3, 2: 3, 3: 0, 4: 2}",0
78,False,"{'a': 0.99, 'e': 0.4566097477439145}",20,0,-108.32530902702511,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
79,False,"{'a': 0.99, 'e': 0.45204365026647536}",25,0,-43.45119641133305,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
80,False,"{'a': 0.99, 'e': 0.4475232137638106}",35,17,-55.80047924650656,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 0}",1
81,False,"{'a': 0.99, 'e': 0.4430479816261725}",20,0,-92.44132929110124,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
82,False,"{'a': 0.99, 'e': 0.43861750180991077}",25,0,-85.4940433428896,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
83,False,"{'a': 0.99, 'e': 0.43423132679181164}",25,0,-37.6939187745572,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
84,False,"{'a': 0.99, 'e': 0.4298890135238935}",20,13,1.6241546168924634,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.99, 'e': 0.4255901233886546}",20,14,-42.6062758082501,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
86,False,"{'a': 0.99, 'e': 0.421334222154768}",20,9,9.544822060632203,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.99, 'e': 0.41712087993322033}",20,0,-20.918230570107276,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",1
88,False,"{'a': 0.99, 'e': 0.41294967113388814}",20,0,-81.93791671749207,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
89,False,"{'a': 0.99, 'e': 0.40882017442254925}",30,14,-55.62689818486504,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
90,False,"{'a': 0.99, 'e': 0.4047319726783238}",25,0,-58.35421655272039,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
91,False,"{'a': 0.99, 'e': 0.40068465295154054}",20,2,-22.70614308980149,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
92,False,"{'a': 0.99, 'e': 0.3966778064220251}",20,8,-14.070985212905835,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
93,False,"{'a': 0.99, 'e': 0.39271102835780486}",20,10,-11.174000831352815,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
94,False,"{'a': 0.99, 'e': 0.3887839180742268}",20,0,2.7175636211577316,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
95,False,"{'a': 0.99, 'e': 0.38489607889348454}",20,8,-36.80876553115671,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
96,False,"{'a': 0.99, 'e': 0.38104711810454966}",25,10,-46.76039901576581,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
97,False,"{'a': 0.99, 'e': 0.37723664692350417}",30,15,24.2347938626379,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.99, 'e': 0.37346428045426916}",30,0,-76.0404643710529,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",0
99,False,"{'a': 0.99, 'e': 0.36972963764972644}",25,1,-35.00104089751884,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 0}",1
100,False,"{'a': 0.99, 'e': 0.3660323412732292}",20,12,0.5171281578174871,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.99, 'e': 0.3623720178604969}",20,13,12.652072957490835,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.99, 'e': 0.3587482976818919}",20,10,19.234340970411424,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
